Symbol,Sector,Price,PE,PBV,Yield,ROE,DE,High_52W,Low_52W,RSI,Volume,Avg_Vol_10D,Sector_PE,Sector_ROE,Sector_Yield,DE_Score,Price_Position,RSI_Score,Relative_Quality_Score,PE_Score,ROE_Score,Yield_Score,Total_Score,Entry_Zone_Low,Entry_Zone_High,Exit_Zone_Low,Exit_Zone_High,Volume_Ratio,Stop_Loss,Upside_Pct,RRR,Recovery_Pct,Trend_Status,Rationale
SISB,Consumer Defensive,9.5,9.5,2.261905,5.31,24.149999,0.1365,16.5,9.35,21.42847411444141,358929,1603862.9,10.656566,14.839,5.31,100,2.097902097902103,100,90,100,100,100,96.79020979020979,9.35,9.8175,16.005,16.5,0.22379032522044123,8.882499999999999,68.47368421052632,10.53441295546556,0.0,Bearish 📉,"Cheaper than Consumer Defensive avg, Above sector profitability, Strong balance sheet, Technical entry point, Within Entry Zone"
TFG,Consumer Defensive,9.0,7.2,2.609452,8.11,36.562002,0.84485,11.6,4.14,33.61883659903816,4024280,19915778.0,10.656566,14.839,5.31,100,65.14745308310992,100,90,100,100,100,90.48525469168901,4.14,4.3469999999999995,11.251999999999999,11.6,0.20206491556593972,3.9329999999999994,25.02222222222221,0.4444444444444442,0.0,Weak Trend ⚠️,"Cheaper than Consumer Defensive avg, Above sector profitability, Strong balance sheet, Technical entry point, High relative dividend"
MTC,Financial Services,27.0,8.206687,1.2742461,1.07,16.724001,0.0,44.0,26.75,38.888888888888886,818569,7361556.9,9.77707,10.68,6.23,100,1.4492753623188406,70,90,100,70,30,89.35507246376812,26.75,28.087500000000002,42.68,44.0,0.11119509244029616,25.412499999999998,58.074074074074076,9.877165354330696,0.0,Bearish 📉,"Cheaper than Financial Services avg, Above sector profitability, Strong balance sheet, Within Entry Zone"
TOP,Energy,45.0,3.2632341,0.5169621,4.44,15.45,0.50307,56.75,26.0,25.00000000000001,3266969,7545506.9,8.817204,8.129999999999999,6.1,100,61.78861788617886,100,90,100,70,70,86.3211382113821,26.0,27.3,55.0475,56.75,0.4329687910032923,24.7,22.327777777777776,0.4949507389162561,0.0,Weak Trend ⚠️,"Cheaper than Energy avg, Above sector profitability, Strong balance sheet, Technical entry point"
BTG,Consumer Defensive,20.4,6.7774086,1.1813076,7.5,18.681,0.63781,25.5,15.4,56.52173552485363,2700475,4818027.5,10.656566,14.839,5.31,100,49.504950495049485,30,90,100,100,100,85.04950495049505,15.4,16.17,24.735,25.5,0.5604938950639032,14.629999999999999,21.250000000000004,0.7512998266897749,0.0,Weak Trend ⚠️,"Cheaper than Consumer Defensive avg, Above sector profitability, Strong balance sheet, High relative dividend"
HMPRO,Consumer Cyclical,6.05,13.750001,2.8578176,7.33,20.406,0.85517,8.0,5.7,55.55555555555556,3950637,22853863.7,16.541353,9.275,3.3,100,15.217391304347814,30,90,70,100,100,83.97826086956522,5.7,5.985,7.76,8.0,0.1728651685272806,5.415,28.264462809917358,2.6929133858267726,0.0,Weak Trend ⚠️,"Cheaper than Consumer Cyclical avg, Above sector profitability, Strong balance sheet, High relative dividend"
NSL,Consumer Defensive,21.1,10.656566,2.7033954,5.19,26.541,0.26899,34.25,20.7,50.0,28500,222040.0,10.656566,14.839,5.31,100,2.9520295202952185,30,70,100,100,100,83.70479704797049,20.7,21.735,33.2225,34.25,0.12835525130607098,19.665,57.45260663507107,8.447735191637614,0.0,Sideways ➡️,"Above sector profitability, Strong balance sheet, Within Entry Zone"
SAWAD,Financial Services,20.2,6.37224,0.8638755,3.68,14.013,1.44954,32.0,14.8,29.729733909455604,2549835,11981593.5,9.77707,10.68,6.23,70,31.395348837209298,100,90,100,70,70,83.36046511627907,14.8,15.540000000000001,31.04,32.0,0.21281267804653864,14.06,53.663366336633665,1.7654723127035834,0.0,Bearish 📉,"Cheaper than Financial Services avg, Above sector profitability, Technical entry point"
AP,Real Estate,7.0,5.035971,0.4687605,7.48,9.522,0.6934,9.7,5.6,18.750007450578806,832835,10847093.5,8.540373,8.703,6.67,100,34.14634146341465,100,90,100,30,100,83.08536585365854,5.6,5.88,9.408999999999999,9.7,0.07677955389616582,5.319999999999999,34.4142857142857,1.4339285714285703,0.0,Bearish 📉,"Cheaper than Real Estate avg, Above sector profitability, Strong balance sheet, Technical entry point, High relative dividend"
SPRC,Energy,7.35,3.450704,0.6823245,8.11,21.345,0.19454,8.2,4.28,54.545423019069126,6848709,14360960.9,8.817204,8.129999999999999,6.1,100,78.31632653061224,30,90,100,100,100,82.16836734693878,4.28,4.494000000000001,7.953999999999999,8.2,0.47689768447179604,4.066,8.217687074829922,0.18392204628501804,0.0,Sideways ➡️,"Cheaper than Energy avg, Above sector profitability, Strong balance sheet, High relative dividend"
TTW,Utilities,9.4,11.463414,2.2514968,6.42,19.463,0.3330599999999999,9.5,8.5,58.333373070180045,1192905,2096140.5,15.180778499999999,6.276499900000001,5.4,100,90.00000000000003,30,90,100,100,100,81.0,8.5,8.925,9.215,9.5,0.569095916996022,8.075,-1.968085106382984,-0.13962264150943424,0.0,Bullish 📈,"Cheaper than Utilities avg, Above sector profitability, Strong balance sheet, High relative dividend"
PRM,Energy,8.2,8.817204,1.4705881,6.1,17.204,0.73868,9.05,5.5,27.999975585918875,545300,5027760.0,8.817204,8.129999999999999,6.1,100,76.05633802816898,100,70,100,70,100,78.8943661971831,5.5,5.775,8.778500000000001,9.05,0.10845784206087801,5.225,7.054878048780511,0.19445378151260567,0.0,Weak Trend ⚠️,"Above sector profitability, Strong balance sheet, Technical entry point"
AURA,Consumer Cyclical,13.8,10.534351,2.5109172,4.03,21.260999,1.94681,16.1,12.1,21.73912863199577,683031,2284453.1,16.541353,9.275,3.3,30,42.50000000000001,100,90,100,100,70,78.75,12.1,12.705,15.617,16.1,0.29899103641042135,11.495,13.166666666666668,0.7882863340563987,0.0,Weak Trend ⚠️,"Cheaper than Consumer Cyclical avg, Above sector profitability, Technical entry point, High relative dividend"
TQM,Financial Services,13.5,11.637932,2.757353,8.21,20.465,0.47377,15.7,10.6,52.631584230873095,25600,289320.0,9.77707,10.68,6.23,100,56.86274509803923,30,70,100,100,100,78.31372549019608,10.6,11.13,15.229,15.7,0.08848334024609429,10.069999999999999,12.8074074074074,0.5040816326530607,0.0,Sideways ➡️,"Above sector profitability, Strong balance sheet, High relative dividend"
RCL,Industrials,31.75,3.3812566,0.460512,12.6,14.136,0.27388,34.5,24.7,66.66666666666666,1023141,3727464.1,11.9541985,11.67050025,3.2649999999999997,100,71.93877551020408,30,90,100,70,100,78.3061224489796,24.7,25.935,33.464999999999996,34.5,0.2744871506609547,23.465,5.401574803149595,0.2070006035003013,0.0,Bullish 📈,"Cheaper than Industrials avg, Above sector profitability, Strong balance sheet, High relative dividend"
MOSHI,Consumer Cyclical,37.5,17.523363,4.2358522,3.3,26.123,0.63168,43.0,30.25,47.82608695652174,14255,452535.5,16.541353,9.275,3.3,100,56.86274509803921,70,70,70,100,70,77.81372549019608,30.25,31.762500000000003,41.71,43.0,0.031500291137380385,28.737499999999997,11.22666666666667,0.48045649072753205,0.0,Sideways ➡️,"Above sector profitability, Strong balance sheet"
COM7,Consumer Cyclical,26.5,14.640884,5.916499,4.19,39.321998,0.7288800000000001,28.0,16.7,57.14285714285714,1228300,10122230.0,16.541353,9.275,3.3,100,86.72566371681415,30,90,70,100,70,76.82743362831859,16.7,17.535,27.16,28.0,0.12134677832849086,15.864999999999998,2.4905660377358494,0.062059238363892814,0.0,Bullish 📈,"Cheaper than Consumer Cyclical avg, Above sector profitability, Strong balance sheet, High relative dividend"
GFPT,Consumer Defensive,8.55,4.6216216,0.4977876,2.34,11.02,0.18076,11.0,8.25,44.4443973491969,137203,1057330.3,10.656566,14.839,5.31,100,10.909090909090935,70,70,100,30,30,76.4090909090909,8.25,8.6625,10.67,11.0,0.12976361313016377,7.8374999999999995,24.79532163742689,2.9754385964912218,0.0,Bearish 📉,"Cheaper than Consumer Defensive avg, Strong balance sheet, Within Entry Zone"
QH,Real Estate,1.32,7.764706,0.463646,10.69,5.935999799999999,0.30362,1.53,1.15,12.50011175848246,1703737,15969023.7,8.540373,8.703,6.67,100,44.736842105263186,100,70,100,30,100,76.02631578947368,1.15,1.2075,1.4841,1.53,0.10669011656611169,1.0924999999999998,12.431818181818175,0.7213186813186802,0.0,Weak Trend ⚠️,"Cheaper than Real Estate avg, Strong balance sheet, Technical entry point, High relative dividend"
CK,Industrials,17.8,8.855721,1.0484773,2.79,12.182,1.45046,20.0,10.2,45.99998168943915,774600,12435130.0,11.9541985,11.67050025,3.2649999999999997,70,77.55102040816327,70,90,100,70,30,75.74489795918367,10.2,10.709999999999999,19.4,20.0,0.062291266757967145,9.69,8.988764044943807,0.197287299630086,0.0,Sideways ➡️,"Cheaper than Industrials avg, Above sector profitability"
PR9,Healthcare,16.4,15.92233,2.1279356,3.07,13.791999,0.252,26.0,15.7,58.823483213133294,43203,1438690.3,16.9807725,14.1039995,4.41,100,6.7961165048543615,30,70,70,70,70,74.32038834951456,15.7,16.485,25.22,26.0,0.030029395485602427,14.915,53.78048780487805,5.939393939393942,0.0,Weak Trend ⚠️,"Cheaper than Healthcare avg, Strong balance sheet, Within Entry Zone"
KTC,Financial Services,30.0,9.55414,1.6698208,5.95,17.980999999999998,1.1153,37.5,21.8,62.50000000000001,4324635,14223073.5,9.77707,10.68,6.23,70,52.22929936305732,30,90,100,70,100,74.27707006369427,21.8,22.89,36.375,37.5,0.304057698921404,20.71,21.25,0.686221743810549,0.0,Bullish 📈,"Cheaper than Financial Services avg, Above sector profitability"
PTTEP,Energy,144.0,10.293067,1.0771976,6.12,10.782,0.243,164.0,103.0,32.5,1662124,13522322.4,8.817204,8.129999999999999,6.1,100,67.21311475409836,100,70,100,30,100,73.77868852459017,103.0,108.15,159.07999999999998,164.0,0.12291705158575424,97.85,10.47222222222221,0.3267605633802813,0.0,Weak Trend ⚠️,"Above sector profitability, Strong balance sheet, Technical entry point, High relative dividend"
IRPC,Energy,1.81,6.4642854,0.50069153,55.00000000000001,7.698,0.92015,2.34,0.7,21.62160768919486,58367548,106590154.8,8.817204,8.129999999999999,6.1,100,67.6829268292683,100,70,100,30,100,73.73170731707317,0.7,0.735,2.2697999999999996,2.34,0.5475885470803351,0.6649999999999999,25.403314917127044,0.4015720524017463,0.0,Weak Trend ⚠️,"Cheaper than Energy avg, Strong balance sheet, Technical entry point, High relative dividend"
SPALI,Real Estate,15.4,7.368421,0.5243981,9.15,7.326,0.6924399999999999,19.0,13.2,46.153834867769504,149808,2602200.8,8.540373,8.703,6.67,100,37.93103448275863,70,70,100,30,100,73.70689655172413,13.2,13.86,18.43,19.0,0.05756973097541128,12.54,19.67532467532467,1.0594405594405587,0.0,Sideways ➡️,"Cheaper than Real Estate avg, Strong balance sheet, High relative dividend"
BCPG,Utilities,6.5,13.541667,0.6609722,5.38,4.739,0.8210599999999999,9.6,5.25,31.24999254942118,1158812,8600421.2,15.180778499999999,6.276499900000001,5.4,100,28.73563218390805,100,70,70,30,100,73.12643678160919,5.25,5.5125,9.312,9.6,0.13473898231867995,4.9875,43.26153846153845,1.8591735537190077,0.0,Bearish 📉,"Cheaper than Utilities avg, Strong balance sheet, Technical entry point"
JTS,Communication Services,36.75,0.0,29.518072,0.0,-14.512,0.92252,93.5,23.0,3.333333333333343,127105,469860.5,15.307693,11.733,3.26,100,19.50354609929078,100,50,100,30,30,72.54964539007092,23.0,24.150000000000002,90.695,93.5,0.2705164618008962,21.849999999999998,146.7891156462585,3.6204697986577172,0.0,Bearish 📉,"Cheaper than Communication Services avg, Strong balance sheet, Technical entry point"
BLA,Financial Services,25.5,5.944056,0.8206217,3.44,14.529,0.0,25.5,14.0,81.24998013179771,645036,3144533.6,9.77707,10.68,6.23,100,100.0,0,90,100,70,70,72.5,14.0,14.700000000000001,24.735,25.5,0.20512930757044542,13.299999999999999,-3.000000000000002,-0.06270491803278692,0.0,Bullish 📈,"Cheaper than Financial Services avg, Above sector profitability, Strong balance sheet"
RATCH,Utilities,30.0,10.489511,0.6572894,5.42,6.439,0.96465,32.5,24.0,50.0,844181,2034088.1,15.180778499999999,6.276499900000001,5.4,100,70.58823529411765,30,90,100,30,100,72.44117647058823,24.0,25.200000000000003,31.525,32.5,0.4150169306825992,22.799999999999997,5.083333333333329,0.21180555555555527,0.0,Sideways ➡️,"Cheaper than Utilities avg, Above sector profitability, Strong balance sheet, High relative dividend"
STGT,Basic Materials,10.9,0.0,0.81252325,4.59,-0.3899999999999999,0.12613,12.2,5.1,26.315757772576617,615033,3269713.3,0.0,-1.2280000000000002,3.86,100,81.69014084507043,100,70,100,30,70,72.33098591549296,5.1,5.3549999999999995,11.834,12.2,0.18809997806229678,4.845,8.568807339449535,0.15425268373245238,0.0,Weak Trend ⚠️,"Above sector profitability, Strong balance sheet, Technical entry point, High relative dividend"
TIDLOR,Financial Services,16.6,8.972973,1.3936697,6.2,15.88,2.0432900000000003,22.5,13.4,41.34751250736462,4494400,21199360.0,9.77707,10.68,6.23,30,35.16483516483518,70,90,100,70,100,71.98351648351648,13.4,14.07,21.825,22.5,0.21200640019321337,12.73,31.475903614457817,1.3501291989664073,0.0,Bearish 📉,"Cheaper than Financial Services avg, Above sector profitability"
BDMS,Healthcare,18.0,18.181818,2.5959044,4.44,14.416,0.12267,22.9,17.4,45.45451392802337,14851550,42474645.0,16.9807725,14.1039995,4.41,100,10.909090909090935,70,70,30,70,70,71.9090909090909,17.4,18.27,22.212999999999997,22.9,0.34965683644913337,16.529999999999998,23.40555555555554,2.8659863945578166,0.0,Sideways ➡️,"Above sector profitability, Strong balance sheet, High relative dividend, Within Entry Zone"
CENTEL,Consumer Cyclical,33.25,13.247012,1.8041236,2.0,14.378001,1.24696,40.5,21.1,59.09090909090909,340503,3055840.3,16.541353,9.275,3.3,70,62.628865979381445,30,90,70,70,30,68.73711340206185,21.1,22.155,39.285,40.5,0.111426961677284,20.045,18.150375939849614,0.4570238546005299,0.0,Bullish 📈,"Cheaper than Consumer Cyclical avg, Above sector profitability"
CPN,Real Estate,64.5,14.759726,2.522882,3.75,16.76,0.93385,70.5,41.0,31.818181818181827,705404,4470450.4,8.540373,8.703,6.67,100,79.66101694915254,100,50,70,70,70,68.03389830508475,41.0,43.050000000000004,68.385,70.5,0.1577926018371661,38.949999999999996,6.023255813953496,0.15205479452054813,0.0,Weak Trend ⚠️,"Above sector profitability, Strong balance sheet, Technical entry point"
BH,Healthcare,178.0,20.554274,4.3327975,2.84,24.379,0.314,214.0,130.0,58.18181818181818,662284,4748288.4,16.9807725,14.1039995,4.41,100,57.14285714285714,30,70,30,100,30,67.78571428571428,130.0,136.5,207.57999999999998,214.0,0.13947846975764994,123.5,16.617977528089877,0.5427522935779814,0.0,Bullish 📈,"Above sector profitability, Strong balance sheet"
ICHI,Consumer Defensive,13.0,12.380953,2.9898803,8.59,23.035999,1.482,15.2,9.65,60.0,887182,3568078.2,10.656566,14.839,5.31,70,60.36036036036037,30,70,70,100,100,67.46396396396396,9.65,10.1325,14.744,15.2,0.24864421413185395,9.1675,13.415384615384612,0.45505544683626875,0.0,Bullish 📈,"Above sector profitability, High relative dividend"
AWC,Consumer Cyclical,2.38,11.900001,0.7795611,3.36,6.6939995,0.9188,2.8,1.55,65.62501280569285,7620817,47087011.7,16.541353,9.275,3.3,100,66.4,30,70,100,30,70,66.86,1.55,1.6275000000000002,2.7159999999999997,2.8,0.16184541606831251,1.4725,14.117647058823524,0.3702479338842974,0.0,Bullish 📈,"Cheaper than Consumer Cyclical avg, Strong balance sheet, High relative dividend"
TU,Consumer Defensive,11.2,9.256198,0.9658503,6.31,10.5579995,1.4327,14.1,8.6,45.45451392802337,206229,7235802.9,10.656566,14.839,5.31,70,47.272727272727266,70,70,100,30,100,66.77272727272728,8.6,9.03,13.677,14.1,0.028501190932107894,8.17,22.11607142857143,0.8174917491749177,0.0,Sideways ➡️,"Cheaper than Consumer Defensive avg, High relative dividend"
