Symbol,Sector,Price,PE,PBV,Yield,ROE,DE,High_52W,Low_52W,RSI
ACE,Utilities,1.28,16.0,0.7605466,78.0,4.867,0.4997,1.35,1.25,50.0
ADVANC,Communication Services,349.0,21.69049,9.685028,4.82,46.813,1.7922900000000002,410.0,267.0,23.913043478260875
AOT,Industrials,54.5,44.30894,5.745309,1.49,13.235,0.32854,59.0,26.75,63.888888888888886
AWC,Consumer Cyclical,2.1,10.499999,0.7021063,3.81,6.813,0.94309,2.8,1.55,46.153824992423324
BANPU,Energy,5.55,0.0,0.49495187,6.49,0.64,1.5324700000000002,6.5,4.0,38.448475394546875
BBL,Financial Services,158.5,6.5740356,0.5235187,10.41,7.818,0.0,181.0,135.0,49.88282121587402
BDMS,Healthcare,18.5,18.5,2.776527,4.32,15.302,0.15896000000000002,24.9,17.4,40.000050862500856
BEM,Industrials,5.3,21.2,2.145749,2.83,10.2790006,3.03834,6.3,4.56,52.94118307040013
BH,Healthcare,170.0,19.65318,4.3789606,2.93,25.652,0.342,214.0,130.0,59.21052631578947
BJC,Industrials,14.7,14.7,0.4896246,3.47,3.887,1.26383,24.4,12.8,36.84210262140025
BTS,Industrials,2.12,0.0,0.59533834,0.0,-1.854,1.9356499999999999,5.1,1.98,44.99999105933206
CBG,Consumer Defensive,36.25,15.625,2.5703752,3.31,16.869,0.17888,64.5,32.75,31.818181818181827
CCET,Technology,5.8,29.0,2.445194,3.1,7.944,0.84985,7.3,4.14,70.86956431599788
CENTEL,Consumer Cyclical,31.0,20.945946,1.867695,2.16,9.017,1.40611,40.5,19.4,43.18181818181818
COM7,Consumer Cyclical,21.7,12.690059,4.8448315,5.07,41.224998,1.09545,28.0,16.7,49.31507887279342
CPALL,Consumer Defensive,44.75,14.435484,3.1108794,3.69,9.790000000000001,1.3341800000000001,54.5,40.5,44.827586206896555
CPAXT,Consumer Defensive,14.7,16.333334,0.5118741,8.44,3.1140001,0.57284,26.0,13.9,37.92170292856077
CPF,Consumer Defensive,19.2,6.1538467,0.76260084,2.6,10.5100006,2.0518799999999997,26.5,18.1,15.999996948239854
CPN,Real Estate,62.25,14.821429,2.5425806,3.86,16.740999000000002,0.97834,70.5,41.0,50.0
CRC,Consumer Cyclical,18.6,16.607143,1.7134962,2.85,10.017,1.54054,25.25,15.8,64.62050676638384
DELTA,Industrials,290.0,145.0,37.40005,21.0,28.091,1.515,319.0,82.75,64.48598130841123
EGCO,Utilities,110.0,12.249444,0.5803157,5.91,4.617,1.0893300000000001,143.0,99.25,35.294117647058826
GFPT,Consumer Defensive,9.05,4.6410255,0.52689797,2.21,11.9160004,0.1924,11.0,8.25,25.00005960455951
GPSC,Utilities,35.5,15.638766,0.9587598,5.35,6.162,0.98943,45.0,26.5,57.14285714285714
GULF,Utilities,56.0,32.74854,2.4924335,1.88,35.041,0.9949899999999999,64.25,37.75,36.170212765957444
HMPRO,Consumer Cyclical,6.1,13.260869,3.0318089,7.21,22.728,0.9803700000000001,8.6,5.7,59.640619238614796
IVL,Basic Materials,23.9,0.0,1.3075113,2.93,-5.156000000000001,2.04844,26.25,14.6,40.0
KBANK,Financial Services,190.0,9.209888,0.77462804,6.32,8.5310005,0.0,208.0,147.0,69.18306699956426
KKP,Financial Services,82.0,11.436541,1.0278008,6.95,10.374,0.0,83.5,43.5,75.51020408163265
KTB,Financial Services,32.25,9.347826,0.97097605,11.21,10.986,0.0,36.0,20.8,45.158093049132056
KTC,Financial Services,29.25,9.685431,1.6280752,6.05,17.980999999999998,1.1153,46.5,21.8,60.22837088412741
LH,Real Estate,3.78,12.193548,0.9509434,6.35,0.0,1.51037,4.5,3.18,51.72413793103448
MINT,Consumer Cyclical,21.6,16.744186,2.0993295,3.24,10.034,1.91425,27.5,19.6,50.0
MTC,Financial Services,30.0,9.463722,1.4818473,97.0,16.835,3.38889,46.5,26.75,56.09756097560975
OR,Energy,11.9,12.6595745,1.2552743,5.04,10.147,0.20703,15.6,10.1,29.99997456866872
OSP,Consumer Defensive,15.2,12.459016,2.7060707,5.26,23.268999,3.553,19.5,13.6,60.0
PR9,Healthcare,16.4,15.619048,2.1948607,3.05,14.543000000000001,0.272,26.75,15.7,48.2758575330645
PTT,Energy,34.75,11.031746,0.8730278,6.04,7.115,0.59656,38.0,29.5,47.82608695652174
PTTEP,Energy,149.5,9.854977,1.1279273,5.85,11.359999,0.244,164.0,94.25,35.71428571428572
PTTGC,Basic Materials,36.25,0.0,0.56371975,1.38,-5.519,0.60892,37.75,16.6,48.57142857142856
QH,Real Estate,1.42,8.875,0.503011,9.86,5.804,0.29902,1.55,1.15,66.66666666666666
RATCH,Utilities,29.25,10.227273,0.6807709,5.47,6.418,1.0680100000000001,32.5,24.0,38.46153846153846
SAWAD,Financial Services,23.3,7.7152314,1.0336261,3.18,13.678999,1.57476,32.0,14.8,56.96201431428657
SCB,Financial Services,129.5,9.184397,0.88033557,8.71,0.0,0.0,149.5,115.0,30.183077571051868
SCC,Industrials,219.0,18.654175,0.778199,2.28,2.5860000000000003,0.8383799999999999,235.0,149.0,60.28368794326241
SCGP,Consumer Cyclical,20.9,22.0,1.2059315,2.87,4.987,0.69804,22.1,13.1,55.38460816151785
STGT,Basic Materials,10.1,0.0,0.75288856,4.95,-0.28700000000000003,0.12099,11.4,5.1,33.698650280626836
